"dist_km" "willing"
"1" 39.5012304885313 5
"2" 30.3976601688191 1
"3" 26.7704689293168 3
"4" 29.0506171644665 5
"5" 30.1158375223167 6
"6" 31.877412146423 7
"7" 3.14014161704108 5
"8" 40.6378415296786 3
"9" 48.3313646051101 6
"10" 26.2653050711378 6
"11" 11.7164201801643 5
"12" 48.6094159074128 6
"13" 13.4728675591759 6
"14" 40.9047086490318 4
"15" 22.1751938457601 1
"16" 42.7177133969963 3
"17" 30.4575670161285 6
"18" 31.6823732922785 6
"19" 7.80092380009592 6
"20" 42.8835912025534 7
"21" 0.531380320899189 2
"22" 21.0037214797921 1
"23" 45.5798157257959 6
"24" 20.1926116831601 7
"25" 14.5447746734135 2
"26" 11.1799624864943 4
"27" 22.7115374058485 5
"28" 6.27252003178 1
"29" 49.3095353711396 2
"30" 47.4663799046539 6
"31" 0.841526710428298 6
"32" 25.6770176929422 7
"33" 47.7799676242284 5
"34" 13.1858388893306 7
"35" 43.5479764943011 2
"36" 24.9161691055633 6
"37" 25.1707117422484 7
"38" 29.9565644934773 6
"39" 7.07709573907778 4
"40" 44.5243782713078 5
"41" 25.3831286448985 6
"42" 5.2021820563823 6
"43" 46.1695397156291 7
"44" 1.49746527895331 6
"45" 45.537652389612 5
"46" 31.5407953457907 2
"47" 27.2845574771054 5
"48" 42.3147155204788 7
"49" 32.6384293963201 6
"50" 8.48705770913512 6
"51" 33.3766591385938 6
"52" 3.57466796413064 5
"53" 43.8209009938873 6
"54" 43.2261294452474 6
"55" 19.7679056669585 6
"56" 22.8283682023175 6
"57" 42.2188816592097 2
"58" 9.97647230979055 6
"59" 7.85268457839265 5
"60" 12.8907431266271 6
"61" 30.649747850839 6
"62" 2.98167886212468 7
"63" 35.8805046416819 3
"64" 12.7537766238675 3
"65" 16.2143371999264 3
"66" 13.7207626132295 1
"67" 34.8851664108224 7
"68" 29.9400671501644 7
"69" 6.70722030336037 6
"70" 0.886963831726462 7
"71" 7.79097836930305 3
"72" 10.9288949286565 3
"73" 25.9100751834922 5
"74" 12.3818807885982 7
"75" 2.79693834017962 7
"76" 45.6268331268802 6
"77" 1.96158702019602 1
"78" 22.1293213427998 7
"79" 34.8285748390481 6
"80" 0.0124502112157643 7
"81" 36.3211299176328 4
"82" 45.7040747511201 6
"83" 21.154909778852 2
"84" 6.15334941539913 6
"85" 20.8310846588574 6
"86" 6.94436121266335 6
"87" 19.3054016097449 5
"88" 43.9671316067688 6
"89" 28.1207962660119 5
"90" 34.9165821797214 6
"91" 4.70794673423836 6
"92" 17.9830652094426 4
"93" 11.1546023060244 5
"94" 0.564801019305984 5
"95" 2.99099768511951 5
"96" 3.99348759092391 5
"97" 3.84426291721563 5
"98" 9.86614269458866 5
"99" 0.530613707378507 7
"100" 3.2716411848863 5
"101" 14.2978260285201 4
"102" 5.11296862555068 6
"103" 16.1716698993245 7
"104" 13.5473038002214 7
"105" 10.3118732441824 6
"106" 16.7700467126114 6
"107" 2.88171741813147 6
"108" 12.1623424065017 7
"109" 5.57131565055538 2
"110" 3.67023382646342 1
