"","species","wing_length","weight_g"
"1","BLUTI",58,9.45554447406903
"2","BLUTI",63,9.34189301077276
"3","BLUTI",58,10.3618915830739
"4","BLUTI",62,10.9187030037865
"5","BLUTI",57,9.70171197969466
"6","BLUTI",57,10.9190440592356
"7","BLUTI",61,10.0418405164964
"8","BLUTI",62,9.14460518490523
"9","BLUTI",69,10.4809099161066
"10","BLUTI",59,10.6064217272215
"11","BLUTI",59,9.16692727943882
"12","BLUTI",66,9.24573004851118
"13","BLUTI",57,9.84423886518925
"14","BLUTI",65,10.4277445506305
"15","BLUTI",65,10.5623220982961
"16","BLUTI",67,10.2819562661462
"17","BLUTI",69,10.2452783472836
"18","BLUTI",63,9.28960061911494
"19","BLUTI",61,10.4572474672459
"20","BLUTI",66,9.87057638401166
"21","BLUTI",58,9.37831811420619
"22","BLUTI",65,9.23996686143801
"23","BLUTI",64,9.63077607564628
"24","BLUTI",68,9.91369309276342
"25","BLUTI",63,9.53124050283805
"26","BLUTI",68,9.79341221880168
"27","BLUTI",62,10.5572329270653
"28","BLUTI",61,10.5943391411565
"29","BLUTI",58,9.94734605448321
"30","BLUTI",59,10.6484132222831
"31","BLUTI",68,10.8782946523279
"32","BLUTI",58,9.55686232540756
"33","BLUTI",59,10.0315354941413
"34","BLUTI",57,10.4506458891556
"35","BLUTI",66,10.0567934550345
"36","BLUTI",61,9.06729176687077
"37","BLUTI",57,9.78650519764051
"38","BLUTI",65,9.74695173092186
"39","BLUTI",66,10.5109541183338
"40","BLUTI",58,9.38322224793956
"41","BLUTI",59,9.32881248416379
"42","BLUTI",64,10.6929163001478
"43","BLUTI",60,10.3572820406407
"44","BLUTI",60,9.85534268710762
"45","BLUTI",69,9.66733271023259
"46","BLUTI",57,10.4353167102672
"47","BLUTI",61,9.81915671564639
"48","BLUTI",62,9.24135793512687
"49","BLUTI",69,10.0017927023582
"50","BLUTI",58,10.9927857960574
"51","GRETI",70,16.3666334222071
"52","GRETI",75,16.0256790323183
"53","GRETI",70,19.0856747492217
"54","GRETI",74,20.7561090113595
"55","GRETI",69,17.105135939084
"56","GRETI",69,20.7571321777068
"57","GRETI",73,18.1255215494893
"58","GRETI",74,15.4338155547157
"59","GRETI",81,19.4427297483198
"60","GRETI",71,19.8192651816644
"61","GRETI",71,15.5007818383165
"62","GRETI",78,15.7371901455335
"63","GRETI",69,17.5327165955678
"64","GRETI",77,19.2832336518914
"65","GRETI",77,19.6869662948884
"66","GRETI",79,18.8458687984385
"67","GRETI",81,18.7358350418508
"68","GRETI",75,15.8688018573448
"69","GRETI",73,19.3717424017377
"70","GRETI",78,17.611729152035
"71","GRETI",70,16.1349543426186
"72","GRETI",77,15.719900584314
"73","GRETI",76,16.8923282269388
"74","GRETI",80,17.7410792782903
"75","GRETI",75,16.5937215085141
"76","GRETI",80,17.380236656405
"77","GRETI",74,19.671698781196
"78","GRETI",73,19.7830174234696
"79","GRETI",70,17.8420381634496
"80","GRETI",71,19.9452396668494
"81","GRETI",80,20.6348839569837
"82","GRETI",70,16.6705869762227
"83","GRETI",71,18.0946064824238
"84","GRETI",69,19.3519376674667
"85","GRETI",78,18.1703803651035
"86","GRETI",73,15.2018753006123
"87","GRETI",69,17.3595155929215
"88","GRETI",77,17.2408551927656
"89","GRETI",78,19.5328623550013
"90","GRETI",70,16.1496667438187
"91","GRETI",71,15.9864374524914
"92","GRETI",76,20.0787489004433
"93","GRETI",72,19.0718461219221
"94","GRETI",72,17.5660280613229
"95","GRETI",81,17.0019981306978
"96","GRETI",69,19.3059501308016
"97","GRETI",73,17.4574701469392
"98","GRETI",74,15.7240738053806
"99","GRETI",81,18.0053781070746
"100","GRETI",70,20.9783573881723
