pop1	pop2
101102	104105
103103	103104
101102	105104
101102	103106
102104	106106
103104	104103
103102	106103
103104	105104
101102	105104
104104	103105
102103	106106
102102	105105
102103	103104
104103	103105
101101	103104
101103	106104
101104	105103
102104	103104
101104	105106
101103	103105
102101	106103
103102	103103
103102	106105
102103	105105
103104	103105
102103	103103
104104	106103
101103	106106
104103	105106
102104	105105
102103	105106
102102	103104
102102	106106
101101	103104
102103	104105
104104	103106
102103	104105
102101	105104
103101	106105
104102	104104
103102	106106
104102	104105
101102	104103
104104	103105
101104	104106
101104	105103
102103	103103
102101	103103
102101	106105
104102	104106
104102	103105
101102	105103
104101	105104
102102	103103
102102	105104
102104	105103
104103	105104
103104	104104
103101	103104
101104	103104
103104	104104
101104	106105
101104	105104
104101	106104
103103	103103
101104	104106
104101	103104
102104	106105
103103	106105
102104	106105
104104	104104
104101	103104
102104	105104
103101	105104
101104	104106
104102	106103
102104	104105
101101	103104
103103	105103
104104	103104
103101	105104
101101	105103
101103	105104
102101	104104
103101	103105
104102	106103
104102	105106
101101	103103
104103	103103
101104	103103
103101	105105
101102	103103
101103	106104
101101	103103
102104	106103
102101	104104
103103	106104
104101	103105
102104	106103
101102	104104
